Id,SalePrice
1461,119250.0
1462,161225.0
1463,186200.0
1464,190833.33333333334
1465,184175.0
1466,184000.0
1467,184020.0
1468,174666.66666666666
1469,178793.0
1470,128450.0
1471,198833.33333333334
1472,101500.0
1473,97666.66666666667
1474,152675.0
1475,109900.0
1476,370878.0
1477,256300.0
1478,315224.9
1479,282922.0
1480,466500.0
1481,315500.0
1482,201500.0
1483,185567.0
1484,168993.33333333334
1485,175650.0
1486,200250.0
1487,315500.0
1488,220389.5
1489,200600.0
1490,217666.66666666666
1491,205582.5
1492,96500.0
1493,185600.0
1494,315125.0
1495,290000.0
1496,227500.0
1497,194000.0
1498,160966.66666666666
1499,161800.0
1500,165575.0
1501,175500.0
1502,156932.0
1503,248328.0
1504,229737.5
1505,220461.33333333334
1506,197900.0
1507,250000.0
1508,200624.0
1509,163333.33333333334
1510,156779.0
1511,156850.0
1512,193500.0
1513,137476.19047619047
1514,179333.33333333334
1515,177133.33333333334
1516,163071.42857142858
1517,155000.0
1518,136933.33333333334
1519,224500.0
1520,138500.0
1521,140440.625
1522,165500.0
1523,105750.0
1524,123000.0
1525,127566.66666666667
1526,128500.0
1527,111464.5294117647
1528,125000.0
1529,141666.66666666666
1530,167000.0
1531,135258.0
1532,113500.0
1533,154666.66666666666
1534,117166.66666666667
1535,165500.0
1536,120966.66666666667
1537,81200.0
1538,155966.66666666666
1539,226000.0
1540,114250.0
1541,153900.0
1542,141500.0
1543,208333.33333333334
1544,100750.0
1545,112833.33333333333
1546,123675.0
1547,131400.0
1548,135700.0
1549,118000.0
1550,136500.0
1551,122337.5
1552,135000.0
1553,168000.0
1554,123500.0
1555,169250.0
1556,111600.0
1557,134200.0
1558,94500.0
1559,123000.0
1560,141116.66666666666
1561,157833.33333333334
1562,128183.33333333333
1563,120333.33333333333
1564,157779.0
1565,141333.33333333334
1566,229500.0
1567,82000.0
1568,227587.5
1569,154833.33333333334
1570,139700.0
1571,133700.0
1572,153166.66666666666
1573,239048.8
1574,123000.0
1575,208900.0
1576,269500.0
1577,197150.0
1578,153925.0
1579,145000.0
1580,191116.66666666666
1581,148000.0
1582,128850.0
1583,311250.0
