"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.633910757788,YesMr,0.0,0.181818181818
1,0.639975941753,Pclass,2.5,0.181818181818
2,0.705049547795,Pclass,1.5,0.181818181818
3,0.812552277063,YesRev,0.0,0.181818181818
4,0.589820300314,FamilySize,4.5,0.909090909091
5,0.545444734624,AgeGroup,0.75,0.136363636364
6,0.763685831086,nTicketStrings,2.5,0.181818181818
7,0.828773835777,YesFancy,0.0,0.181818181818
8,1.0,ThisIsAnEndNode,nan,nan
9,0.549492252045,Gender,0.0,0.181818181818
10,0.817759133076,FamilySize,6.5,0.545454545455
11,0.525918642552,Fare,-0.5,0.181818181818
12,0.73771117811,CabinNumbers,7.0,8.0
13,0.774584019225,CabinNumbers,6.0,6.72727272727
14,0.580452938052,TicketNumber,23101280.3636,2.27272727273
15,0.870098516477,TicketNumber,45576.0909091,22786.5454545
16,0.678059960362,CabinNumbers,8.54545454545,9.54545454545
17,nan,,nan,nan
18,nan,,nan,nan
19,0.526846016743,AgeGroup,0.25,0.181818181818
20,1.0,ThisIsAnEndNode,nan,nan
21,1.0,ThisIsAnEndNode,nan,nan
22,0.708765013304,TicketBeginLetter,0.0,0.181818181818
23,1.0,ThisIsAnEndNode,nan,nan
24,0.51324278102,CabinNumbers,53.1818181818,13.5454545455
25,1.0,ThisIsAnEndNode,nan,nan
26,0.707271979218,CabinNumbers,42.4545454545,6.36363636364
27,0.781172464299,Fare,0.25,0.136363636364
28,nan,,nan,nan
29,nan,,nan,nan
30,nan,,nan,nan
