"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.669657089728,YesMr,0.0,0.181818181818
1,0.657809197419,FamilySize,4.5,0.909090909091
2,0.754415256259,Pclass,1.5,0.181818181818
3,0.684709026586,Pclass,2.5,0.181818181818
4,0.857080610022,Pclass,2.5,0.181818181818
5,0.575751604549,AgeGroup,0.75,0.136363636364
6,0.814170445725,nTicketStrings,2.5,0.181818181818
7,0.833727175081,YesRev,0.0,0.181818181818
8,0.555954628478,AgeGroup,-0.75,0.181818181818
9,1.0,ThisIsAnEndNode,nan,nan
10,0.857777777778,FamilySize,6.5,0.545454545455
11,0.539428948671,CabinE,0.0,0.181818181818
12,0.794117647059,CabinNumbers,7.0,8.0
13,0.826656828996,Fare,0.25,0.136363636364
14,0.580952380952,AgeGroup,0.25,0.0909090909091
15,0.862851897185,YesFancy,0.0,0.181818181818
16,1.0,ThisIsAnEndNode,nan,nan
17,0.824561403509,Gender,0.0,0.181818181818
18,0.546067358567,EmbarkIsS,0.0,0.181818181818
19,nan,,nan,nan
20,nan,,nan,nan
21,1.0,ThisIsAnEndNode,nan,nan
22,0.745454545455,Fare,0.25,0.0909090909091
23,0.553988718775,Fare,-0.5,0.181818181818
24,0.6,nTicketStrings,1.5,0.0909090909091
25,1.0,ThisIsAnEndNode,nan,nan
26,0.752941176471,CabinNumbers,42.4545454545,6.36363636364
27,0.83935608049,CabinNumbers,6.0,6.72727272727
28,0.831932773109,nTicketStrings,1.5,0.0909090909091
29,nan,,nan,nan
30,nan,,nan,nan
