"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
14,0,1,0.00467277600867,0.00467277600867,0.00572184215098,0.00877299731446
13,nan,0,nan,0.00419626456924,nan,0.00724741973272
27,0,0,0.359829686812,0.0135418165866,0.408648169428,0.0187871472981
26,0,0,0.00734346299617,0.00734346299617,0.0119201957414,0.00734346299617
25,0,nan,0.00734346299617,nan,0.00734346299617,nan
24,1,0,0.0348038594675,0.0208852795827,0.0615070244647,0.0346154778184
23,0,nan,0.00524533071155,nan,0.00524533071155,nan
22,0,0,0.00734346299617,0.00944159528079,0.0134457733231,0.00944159528079
21,0,nan,0.0262266535577,nan,0.0262266535577,nan
20,1,nan,0.0104906614231,nan,0.0104906614231,nan
19,1,0,0.073619306733,0.014018328026,0.118056848008,0.0246973710982
8,0,nan,0.00629439685386,nan,0.00629439685386,nan
16,0,1,0.00629439685386,0.0122046206539,0.0078199744356,0.0153518190809
15,1,1,0.113299143369,0.0639930346809,0.117875876115,0.0731465001713
