"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
30,0,1,0.00563151571118,0.00628000105483,0.00789145010444,0.00852865201958
29,1,1,0.0103396608311,0.00612674477595,0.0111788043944,0.00894250263154
28,0,0,0.0286346573378,0.0078243287427,0.0479082163391,0.0078243287427
27,1,1,0.00428367543321,0.0058086488802,0.00746999771801,0.0073626967924
5,nan,1,nan,0.0067956346356,nan,0.0109149010405
24,0,0,0.0201394455205,0.0125871534503,0.0201394455205,0.0156505258383
23,0,0,0.277764984451,0.0176220148304,0.403029683064,0.0176220148304
22,1,0,0.00903973757302,0.00755229207018,0.0170020326752,0.00755229207018
21,0,nan,0.0209785890838,nan,0.0209785890838,nan
20,1,nan,0.00839143563353,nan,0.00839143563353,nan
19,0,1,0.0816328911728,0.0104949404727,0.159985848727,0.0128421191941
8,0,nan,0.00503486138012,nan,0.00503486138012,nan
16,0,1,0.00557893472516,0.0109492314628,0.00864230711314,0.0157216813886
15,1,1,0.0906275048422,0.0511877573646,0.0998176220061,0.0695679916924
