"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
14,0,1,0.00448933782267,0.00448933782267,0.00561167227834,0.00785634118968
28,1,0,0.00561167227834,0.0112233445567,0.00785634118968,0.0112233445567
27,0,0,0.384960718294,0.00448933782267,0.420875420876,0.00673400673401
26,0,0,0.00785634118968,0.00785634118968,0.0112233445567,0.00785634118968
25,0,nan,0.00785634118968,nan,0.00785634118968,nan
24,1,1,0.003367003367,0.00448933782267,0.00561167227834,0.00561167227834
23,0,0,0.00561167227834,0.0460157126824,0.00561167227834,0.0763187429854
22,0,0,0.00785634118968,0.010101010101,0.0123456790123,0.010101010101
21,0,nan,0.0280583613917,nan,0.0280583613917,nan
9,1,nan,0.00673400673401,nan,0.00673400673401,nan
18,1,0,0.0415263748597,0.0347923681257,0.0583613916947,0.0628507295174
17,1,1,0.0112233445567,0.00785634118968,0.013468013468,0.00785634118968
16,0,nan,0.00673400673401,nan,0.00673400673401,nan
15,1,0,0.182940516274,0.010101010101,0.193041526375,0.020202020202
