"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.574218109999,YesMr,0.0,0.181818181818
1,0.593534836316,Pclass,2.5,0.181818181818
2,0.613033245546,CabinNumbers,12.5454545455,13.5454545455
3,0.730482175831,YesRev,0.0,0.181818181818
4,0.563466827414,FamilySize,4.5,0.909090909091
5,0.645492883418,CabinNumbers,7.5,1.18181818182
6,0.536097466424,TicketNumber,35461.0,34766.0
7,0.744555623655,YesFancy,0.0,0.181818181818
8,1.0,ThisIsAnEndNode,nan,nan
9,0.535661909093,Gender,0.0,0.181818181818
10,0.781131177072,FamilySize,6.5,0.545454545455
11,0.650667557577,TicketDashes,1.5,0.363636363636
12,nan,,nan,nan
13,0.533319725291,CabinNumbers,87.0909090909,9.72727272727
14,0.588676329014,CabinNumbers,62.7272727273,12.1818181818
15,0.786443506776,TicketNumber,45576.0909091,22786.5454545
16,0.56498234831,EmbarkIsC,0.0,0.181818181818
17,nan,,nan,nan
18,nan,,nan,nan
19,0.520163565576,TicketDots,0.5,0.0909090909091
20,1.0,ThisIsAnEndNode,nan,nan
21,1.0,ThisIsAnEndNode,nan,nan
22,0.670973048299,TicketBeginLetter,0.0,0.181818181818
23,0.63643352933,AgeGroup,0.75,0.136363636364
24,0.888456977334,AgeGroup,0.25,0.136363636364
25,nan,,nan,nan
26,nan,,nan,nan
27,0.571319378725,CabinNumbers,25.0909090909,6.09090909091
28,nan,,nan,nan
29,0.557052033325,CabinNumbers,36.9090909091,3.81818181818
30,0.72263712062,CabinNumbers,93.9090909091,7.72727272727
